don  	 1072
quijote  	 812
de  	 9035
la  	 5014
mancha  	 50
miguel  	 3
cervantes  	 3
saavedra  	 2
primera  	 39
parte  	 181
capítulo  	 60
1  	 1
que  	 10731
trata  	 21
condición  	 33
y  	 8668
ejercicio  	 22
del  	 1128
famoso  	 52
hidalgo  	 22
d  	 14
en  	 4044
un  	 900
lugar  	 176
cuyo  	 26
nombre  	 87
no  	 3077
quiero  	 109
acordarme  	 3
ha  	 460
mucho  	 157
tiempo  	 171
vivía  	 13
los  	 2149
lanza  	 34
astillero  	 2
adarga  	 18
antigua  	 8
rocín  	 10
flaco  	 5
galgo  	 3
corredor  	 2
una  	 601
olla  	 3
algo  	 60
más  	 968
vaca  	 2
carnero  	 1
salpicón  	 1
las  	 1490
noches  	 10
duelos  	 3
quebrantos  	 1
sábados  	 1
lentejas  	 1
viernes  	 7
algún  	 140
palomino  	 1
añadidura  	 5
domingos  	 1
consumían  	 1
tres  	 107
partes  	 60
su  	 1861
hacienda  	 28
el  	 3857
resto  	 3
della  	 45
concluían  	 1
sayo  	 4
velarte  	 1
calzas  	 3
velludo  	 1
para  	 705
fiestas  	 4
con  	 2087
sus  	 488
pantuflos  	 1
lo  	 1806
mismo  	 121
días  	 115
entre  	 162
semana  	 3
se  	 2382
honraba  	 3
vellori  	 1
fino  	 3
tenía  	 219
casa  	 147
ama  	 26
pasaba  	 32
cuarenta  	 5
sobrina  	 19
llegaba  	 15
a  	 4815
veinte  	 19
mozo  	 52
campo  	 37
plaza  	 9
así  	 567
ensillaba  	 1
como  	 1151
tomaba  	 6
podadera  	 1
frisaba  	 1
edad  	 35
nuestro  	 109
cincuenta  	 5
años  	 54
era  	 484
complexión  	 1
recia  	 2
seco  	 9
carnes  	 6
enjuto  	 2
rostro  	 69
gran  	 151
madrugador  	 1
amigo  	 133
caza  	 4
quieren  	 17
decir  	 266
sobrenombre  	 3
quijada  	 7
o  	 537
quesada  	 2
esto  	 483
hay  	 182
alguna  	 210
diferencia  	 5
autores  	 8
deste  	 67
caso  	 70
escriben  	 3
aunque  	 269
por  	 1927
conjeturas  	 2
verosímiles  	 1
deja  	 23
entender  	 83
llama  	 24
quijana  	 1
pero  	 435
importa  	 12
poco  	 229
cuento  	 56
basta  	 24
narración  	 4
dél  	 52
salga  	 5
punto  	 127
verdad  	 204
es  	 1025
pues  	 450
saber  	 127
este  	 353
sobredicho  	 1
ratos  	 7
estaba  	 276
ocioso  	 4
eran  	 106
año  	 18
daba  	 71
leer  	 49
libros  	 110
caballerías  	 50
tanta  	 106
afición  	 8
gusto  	 114
olvidó  	 3
casi  	 64
todo  	 621
aun  	 147
administración  	 1
llegó  	 90
tanto  	 248
curiosidad  	 12
desatino  	 8
vendió  	 1
muchas  	 107
hanegas  	 2
tierra  	 150
sembradura  	 1
comprar  	 6
llevó  	 21
todos  	 433
cuantos  	 35
pudo  	 63
haber  	 124
dellos  	 39
ningunos  	 1
le  	 1807
parecían  	 13
tan  	 756
bien  	 545
compuso  	 6
feliciano  	 1
silva  	 1
porque  	 768
claridad  	 5
prosa  	 5
aquellas  	 62
intrincadas  	 1
razones  	 117
suyas  	 18
perlas  	 13
cuando  	 387
aquellos  	 89
requiebros  	 3
cartas  	 7
desafío  	 2
donde  	 371
hallaba  	 18
escrito  	 30
razón  	 71
sinrazón  	 4
mi  	 883
hace  	 70
tal  	 171
manera  	 208
enflaquece  	 1
me  	 1155
quejo  	 5
vuestra  	 458
fermosura  	 12
también  	 122
leía  	 6
altos  	 13
cielos  	 6
divinidad  	 1
divinamente  	 1
estrellas  	 8
fortifican  	 1
os  	 222
hacen  	 34
merecedora  	 1
